a(chebi:10100)	partOf	complex(a(chebi:10100), p(hgnc:19679))	{"relation": "partOf"}
a(chebi:101278)	isA	a(chebi:38215)	{"annotations": {}, "citation": {"db": "DOI", "db_id": "10.1101/2020.03.31.017889"}, "evidence": "Diltiazem is a voltage gated Ca 2+ channel antagonist currently used as anti-hypertensive for the control of angina pectoris and cardiac arrhythmia (26), which we have recently repurposed as an effective host-directed influenza inhibitor due to its so far undescribed capacity of inducing the interferon (IFN) antiviral response, particularly type III IFNs (Fig. S2) (8).", "line": 135, "relation": "isA"}
a(chebi:101278)	isA	a(chebi:35674)	{"annotations": {}, "citation": {"db": "DOI", "db_id": "10.1101/2020.03.31.017889"}, "evidence": "Diltiazem is a voltage gated Ca 2+ channel antagonist currently used as anti-hypertensive for the control of angina pectoris and cardiac arrhythmia (26), which we have recently repurposed as an effective host-directed influenza inhibitor due to its so far undescribed capacity of inducing the interferon (IFN) antiviral response, particularly type III IFNs (Fig. S2) (8).", "line": 136, "relation": "isA"}
a(chebi:101278)	decreases	path(mesh:D000787)	{"annotations": {}, "citation": {"db": "DOI", "db_id": "10.1101/2020.03.31.017889"}, "evidence": "Diltiazem is a voltage gated Ca 2+ channel antagonist currently used as anti-hypertensive for the control of angina pectoris and cardiac arrhythmia (26), which we have recently repurposed as an effective host-directed influenza inhibitor due to its so far undescribed capacity of inducing the interferon (IFN) antiviral response, particularly type III IFNs (Fig. S2) (8).", "line": 137, "relation": "decreases"}
a(chebi:101278)	decreases	path(mesh:D001145)	{"annotations": {}, "citation": {"db": "DOI", "db_id": "10.1101/2020.03.31.017889"}, "evidence": "Diltiazem is a voltage gated Ca 2+ channel antagonist currently used as anti-hypertensive for the control of angina pectoris and cardiac arrhythmia (26), which we have recently repurposed as an effective host-directed influenza inhibitor due to its so far undescribed capacity of inducing the interferon (IFN) antiviral response, particularly type III IFNs (Fig. S2) (8).", "line": 138, "relation": "decreases"}
a(chebi:101278)	increases	p(hgnc:5434)	{"annotations": {}, "citation": {"db": "DOI", "db_id": "10.1101/2020.03.31.017889"}, "evidence": "Diltiazem is a voltage gated Ca 2+ channel antagonist currently used as anti-hypertensive for the control of angina pectoris and cardiac arrhythmia (26), which we have recently repurposed as an effective host-directed influenza inhibitor due to its so far undescribed capacity of inducing the interferon (IFN) antiviral response, particularly type III IFNs (Fig. S2) (8).", "line": 139, "relation": "increases"}
a(chebi:101278)	increases	p(hgnc:18363)	{"annotations": {}, "citation": {"db": "DOI", "db_id": "10.1101/2020.03.31.017889"}, "evidence": "Diltiazem is a voltage gated Ca 2+ channel antagonist currently used as anti-hypertensive for the control of angina pectoris and cardiac arrhythmia (26), which we have recently repurposed as an effective host-directed influenza inhibitor due to its so far undescribed capacity of inducing the interferon (IFN) antiviral response, particularly type III IFNs (Fig. S2) (8).", "line": 140, "relation": "increases"}
a(chebi:101278)	increases	p(hgnc:18364)	{"annotations": {}, "citation": {"db": "DOI", "db_id": "10.1101/2020.03.31.017889"}, "evidence": "Diltiazem is a voltage gated Ca 2+ channel antagonist currently used as anti-hypertensive for the control of angina pectoris and cardiac arrhythmia (26), which we have recently repurposed as an effective host-directed influenza inhibitor due to its so far undescribed capacity of inducing the interferon (IFN) antiviral response, particularly type III IFNs (Fig. S2) (8).", "line": 141, "relation": "increases"}
a(chebi:101278)	increases	p(hgnc:18365)	{"annotations": {}, "citation": {"db": "DOI", "db_id": "10.1101/2020.03.31.017889"}, "evidence": "Diltiazem is a voltage gated Ca 2+ channel antagonist currently used as anti-hypertensive for the control of angina pectoris and cardiac arrhythmia (26), which we have recently repurposed as an effective host-directed influenza inhibitor due to its so far undescribed capacity of inducing the interferon (IFN) antiviral response, particularly type III IFNs (Fig. S2) (8).", "line": 142, "relation": "increases"}
a(chebi:101278)	increases	p(hgnc:44480)	{"annotations": {}, "citation": {"db": "DOI", "db_id": "10.1101/2020.03.31.017889"}, "evidence": "Diltiazem is a voltage gated Ca 2+ channel antagonist currently used as anti-hypertensive for the control of angina pectoris and cardiac arrhythmia (26), which we have recently repurposed as an effective host-directed influenza inhibitor due to its so far undescribed capacity of inducing the interferon (IFN) antiviral response, particularly type III IFNs (Fig. S2) (8).", "line": 143, "relation": "increases"}
a(chebi:101381)	decreases	act(p(hgnc:2527))	{"annotations": {}, "citation": {"authors": ["Drosten C", "Erichsen S", "Herrler G", "Herrler T", "Hoffmann M", "Kleine-Weber H", "Kr\u00fcger N", "M\u00fcller MA", "Nitsche A", "P\u00f6hlmann S", "Schiergens TS", "Schroeder S", "Wu NH"], "date": "2020-03-04", "db": "PubMed", "db_id": "32142651", "db_name": "Cell", "first": "Hoffmann M", "last": "P\u00f6hlmann S"}, "evidence": "Full inhibition was attained when camostat mesylate and E-64d, an inhibitor of CatB/L, were added (Figure 4A; Figure S3B), indicating that SARS-2-S can use both CatB/L as well as TMPRSS2 for priming in these cell lines.", "line": 110, "object": {"modifier": "Activity"}, "relation": "decreases"}
